,mutation_1,mutation_2,crossover_1,crossover_2
"[37, 12, -4, 32, -45, -41, 6, 0, 0, 0]",0.0,0.0,0.0,-169.19401095202733
"[37, 12, -4, 32, -45, -41, 6, -43, 0, 0]",0.0,-202.7741694529017,0.0,0.0
"[37, 12, -4, 32, -45, -41, 6, -43, 41, 0]",0.0,-231.7464308426033,0.0,0.0
"[37, 12, -4, 32, -45, -41, 6, -43, 41, -37]",0.0,0.0,0.0,0.0
"[24, -34, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-59.00214281314396
"[24, -34, -32, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-70.16356008841032,0.0
"[24, -34, -32, -22, 0, 0, 0, 0, 0, 0]",0.0,0.0,-70.24411573144485,0.0
"[24, -34, -32, -22, -1, 0, 0, 0, 0, 0]",-75.01743346747132,0.0,0.0,0.0
"[24, -34, -32, -22, -1, -14, 0, 0, 0, 0]",0.0,0.0,-82.41982827330881,0.0
"[24, -34, -32, -22, -1, -14, -18, 0, 0, 0]",0.0,0.0,0.0,-106.06026230828066
"[24, -34, -32, -22, -1, -14, -18, -33, 0, 0]",-133.13822902056054,0.0,0.0,0.0
"[24, -34, -32, -22, -1, -14, -18, -33, 37, 0]",0.0,0.0,-162.26243026868406,0.0
"[24, -34, -32, -22, -1, -14, -18, -33, 37, 39]",0.0,0.0,0.0,0.0
"[-39, 9, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-35.08337250044654,0.0
"[-39, 9, 1, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-40.849877779081325
"[-39, 9, 1, -16, 0, 0, 0, 0, 0, 0]",0.0,-55.41847489426047,0.0,0.0
"[-39, 9, 1, -16, -26, 0, 0, 0, 0, 0]",0.0,-56.89051556727173,0.0,0.0
"[-39, 9, 1, -16, -26, 9, 0, 0, 0, 0]",0.0,0.0,0.0,-56.871911908568265
"[-39, 9, 1, -16, -26, 9, 1, 0, 0, 0]",0.0,-65.39352065146758,0.0,0.0
"[-39, 9, 1, -16, -26, 9, 1, 21, 0, 0]",0.0,0.0,0.0,-93.48991129907802
"[-39, 9, 1, -16, -26, 9, 1, 21, -36, 0]",0.0,0.0,-140.68255948136783,0.0
"[-39, 9, 1, -16, -26, 9, 1, 21, -36, 49]",0.0,0.0,0.0,0.0
"[-37, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-94.80207788029291,-167.98283393387004,-139.01151128495724,-107.63307020413787
"[-37, -11, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-76.5996060985052,0.0,0.0
"[-37, -11, 47, 0, 0, 0, 0, 0, 0, 0]",-97.97250480243481,0.0,0.0,0.0
"[-37, -11, 47, 33, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-99.60144617295315
"[-37, -11, 47, 33, 10, 0, 0, 0, 0, 0]",-99.77248935768279,0.0,0.0,0.0
"[-37, -11, 47, 33, 10, -2, 0, 0, 0, 0]",0.0,-101.11171560786515,0.0,0.0
"[-37, -11, 47, 33, 10, -2, -7, 0, 0, 0]",-103.45356925616103,0.0,0.0,0.0
"[-37, -11, 47, 33, 10, -2, -7, 11, 0, 0]",-105.31222940097149,0.0,0.0,0.0
"[-37, -11, 47, 33, 10, -2, -7, 11, 10, 0]",0.0,-118.95413115897288,0.0,0.0
"[-37, -11, 47, 33, 10, -2, -7, 11, 10, -25]",0.0,0.0,0.0,0.0
"[6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-14.680091774748558,-13.981160174289776,-12.731726694078036,-55.873219002531656
"[6, 1, 0, 0, 0, 0, 0, 0, 0, 0]",-8.371607407998122,0.0,-1.813779187474584,0.0
"[6, 1, -5, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-35.411957058332895,0.0
"[6, 1, -5, 41, 0, 0, 0, 0, 0, 0]",0.0,0.0,-73.70633625977821,0.0
"[6, 1, -5, 41, -42, 0, 0, 0, 0, 0]",0.0,-94.47023035348136,0.0,0.0
"[6, 1, -5, 41, -42, -31, 0, 0, 0, 0]",0.0,-95.87679319740943,0.0,0.0
"[6, 1, -5, 41, -42, -31, 9, 0, 0, 0]",0.0,0.0,-115.00317427659779,0.0
"[6, 1, -5, 41, -42, -31, 9, -29, 0, 0]",0.0,-115.8430933054459,0.0,0.0
"[6, 1, -5, 41, -42, -31, 9, -29, -5, 0]",0.0,0.0,0.0,-129.2979521547778
"[6, 1, -5, 41, -42, -31, 9, -29, -5, 26]",0.0,0.0,0.0,0.0
"[-38, -17, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-78.9360560526228,0.0
"[-38, -17, 46, 0, 0, 0, 0, 0, 0, 0]",0.0,-93.37992265862329,0.0,0.0
"[-38, -17, 46, 27, 0, 0, 0, 0, 0, 0]",0.0,0.0,-100.45158201860352,0.0
"[-38, -17, 46, 27, 19, 0, 0, 0, 0, 0]",0.0,0.0,-106.55462050646294,0.0
"[-38, -17, 46, 27, 19, -16, 0, 0, 0, 0]",0.0,0.0,0.0,-130.67273025871214
"[-38, -17, 46, 27, 19, -16, 35, 0, 0, 0]",0.0,-134.8591200890425,0.0,0.0
"[-38, -17, 46, 27, 19, -16, 35, -13, 0, 0]",-149.26713059345468,0.0,0.0,0.0
"[-38, -17, 46, 27, 19, -16, 35, -13, -25, 0]",0.0,-160.1355232463975,0.0,0.0
"[-38, -17, 46, 27, 19, -16, 35, -13, -25, -22]",0.0,0.0,0.0,0.0
"[34, -29, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-53.60060935740427,0.0,0.0
"[34, -29, 26, 0, 0, 0, 0, 0, 0, 0]",-58.90021876556593,0.0,0.0,0.0
"[34, -29, 26, 17, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-102.37616325772304
"[34, -29, 26, 17, -45, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-136.1055545307589
"[34, -29, 26, 17, -45, -40, 0, 0, 0, 0]",0.0,0.0,-136.3706287821005,0.0
"[34, -29, 26, 17, -45, -40, -2, 0, 0, 0]",0.0,0.0,0.0,-170.06242202051115
"[34, -29, 26, 17, -45, -40, -2, -40, 0, 0]",0.0,0.0,-193.13015912784888,0.0
"[34, -29, 26, 17, -45, -40, -2, -40, 34, 0]",0.0,0.0,0.0,-225.16683710976454
"[34, -29, 26, 17, -45, -40, -2, -40, 34, 41]",0.0,0.0,0.0,0.0
"[25, 16, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-19.68443128618604,0.0
"[25, 16, -10, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-34.45165496846763,0.0
"[25, 16, -10, -26, 0, 0, 0, 0, 0, 0]",0.0,-90.27720652041415,0.0,0.0
"[25, 16, -10, -26, 53, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-113.03094366872078
"[25, 16, -10, -26, 53, 34, 0, 0, 0, 0]",0.0,-122.9973698339775,0.0,0.0
"[25, 16, -10, -26, 53, 34, 23, 0, 0, 0]",0.0,-124.49565058225761,0.0,0.0
"[25, 16, -10, -26, 53, 34, 23, -7, 0, 0]",-151.18517375344067,0.0,0.0,0.0
"[25, 16, -10, -26, 53, 34, 23, -7, -35, 0]",-161.86344473023493,0.0,0.0,0.0
"[25, 16, -10, -26, 53, 34, 23, -7, -35, 24]",0.0,0.0,0.0,0.0
"[-36, -29, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-95.78579677631106,0.0
"[-36, -29, 50, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-144.21567054608332
"[-36, -29, 50, 50, 0, 0, 0, 0, 0, 0]",-174.09838585556895,0.0,0.0,0.0
"[-36, -29, 50, 50, -37, 0, 0, 0, 0, 0]",0.0,-174.45715642377462,0.0,0.0
"[-36, -29, 50, 50, -37, -3, 0, 0, 0, 0]",0.0,0.0,0.0,-198.8204640390574
"[-36, -29, 50, 50, -37, -3, -33, 0, 0, 0]",0.0,0.0,0.0,-247.2312753703505
"[-36, -29, 50, 50, -37, -3, -33, 50, 0, 0]",0.0,0.0,-282.257600901216,0.0
"[-36, -29, 50, 50, -37, -3, -33, 50, -40, 0]",0.0,0.0,0.0,-282.83169616816826
"[-36, -29, 50, 50, -37, -3, -33, 50, -40, 6]",0.0,0.0,0.0,0.0
"[4, -29, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-19.771030008684896
"[4, -29, 2, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-58.989029019116224,0.0
"[4, -29, 2, -43, 0, 0, 0, 0, 0, 0]",0.0,0.0,-60.55451693482701,0.0
"[4, -29, 2, -43, 9, 0, 0, 0, 0, 0]",-77.85234048303343,0.0,0.0,0.0
"[4, -29, 2, -43, 9, 30, 0, 0, 0, 0]",0.0,0.0,0.0,-87.48863168601981
"[4, -29, 2, -43, 9, 30, -20, 0, 0, 0]",0.0,0.0,-89.18267513439437,0.0
"[4, -29, 2, -43, 9, 30, -20, -8, 0, 0]",0.0,-124.1228933318046,0.0,0.0
"[4, -29, 2, -43, 9, 30, -20, -8, -40, 0]",0.0,0.0,0.0,-178.47586926920604
"[4, -29, 2, -43, 9, 30, -20, -8, -40, 53]",0.0,0.0,0.0,0.0
"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-10.47412116222163,0.0,-5.046835425648754,-22.183021256915534
"[3, -21, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-11.83525980805166,0.0,0.0
"[3, -21, 9, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-14.917425248944678
"[3, -21, 9, -11, 0, 0, 0, 0, 0, 0]",0.0,0.0,-34.13931013253786,0.0
"[3, -21, 9, -11, -30, 0, 0, 0, 0, 0]",0.0,0.0,-91.77354332826795,0.0
"[3, -21, 9, -11, -30, 54, 0, 0, 0, 0]",-122.7960992413022,0.0,0.0,0.0
"[3, -21, 9, -11, -30, 54, 40, 0, 0, 0]",-167.96108346836732,0.0,0.0,0.0
"[3, -21, 9, -11, -30, 54, 40, -46, 0, 0]",0.0,0.0,-168.0467006867462,0.0
"[3, -21, 9, -11, -30, 54, 40, -46, -1, 0]",0.0,0.0,-170.0417663809016,0.0
"[3, -21, 9, -11, -30, 54, 40, -46, -1, -9]",0.0,0.0,0.0,0.0
"[46, 20, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-71.19323252406296,0.0,0.0
"[46, 20, -32, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-111.30491854925572,0.0
"[46, 20, -32, 45, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-119.6118040038648
"[46, 20, -32, 45, 21, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-155.09209600704165
"[46, 20, -32, 45, 21, 43, 0, 0, 0, 0]",-155.96591154716202,0.0,0.0,0.0
"[46, 20, -32, 45, 21, 43, -5, 0, 0, 0]",-158.58268085421867,0.0,0.0,0.0
"[46, 20, -32, 45, 21, 43, -5, 12, 0, 0]",0.0,0.0,0.0,-191.4388315381276
"[46, 20, -32, 45, 21, 43, -5, 12, 41, 0]",0.0,-233.59322735509232,0.0,0.0
"[46, 20, -32, 45, 21, 43, -5, 12, 41, -44]",0.0,0.0,0.0,0.0
"[35, 3, 0, 0, 0, 0, 0, 0, 0, 0]",-68.06486807827955,0.0,0.0,0.0
"[35, 3, 47, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-82.91143409522444,0.0
"[35, 3, 47, -26, 0, 0, 0, 0, 0, 0]",-88.22589394914958,0.0,0.0,0.0
"[35, 3, 47, -26, 17, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-106.25707458709222
"[35, 3, 47, -26, 17, 31, 0, 0, 0, 0]",0.0,0.0,0.0,-156.27792394901968
"[35, 3, 47, -26, 17, 31, 51, 0, 0, 0]",-158.91820999923968,0.0,0.0,0.0
"[35, 3, 47, -26, 17, 31, 51, -10, 0, 0]",-170.25199040840175,0.0,0.0,0.0
"[35, 3, 47, -26, 17, 31, 51, -10, -22, 0]",0.0,-200.38019432325484,0.0,0.0
"[35, 3, 47, -26, 17, 31, 51, -10, -22, -37]",0.0,0.0,0.0,0.0
"[45, -3, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-54.4923287438678
"[45, -3, -25, 0, 0, 0, 0, 0, 0, 0]",-55.59489129377473,0.0,0.0,0.0
"[45, -3, -25, 8, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-63.80749712676259
"[45, -3, -25, 8, 21, 0, 0, 0, 0, 0]",0.0,-86.20020771277265,0.0,0.0
"[45, -3, -25, 8, 21, 34, 0, 0, 0, 0]",-102.21028241017692,0.0,0.0,0.0
"[45, -3, -25, 8, 21, 34, 29, 0, 0, 0]",0.0,0.0,-150.91069458969204,0.0
"[45, -3, -25, 8, 21, 34, 29, 50, 0, 0]",-155.39305364498924,0.0,0.0,0.0
"[45, -3, -25, 8, 21, 34, 29, 50, -14, 0]",0.0,-176.74915281594812,0.0,0.0
"[45, -3, -25, 8, 21, 34, 29, 50, -14, -31]",0.0,0.0,0.0,0.0
"[-1, 44, 0, 0, 0, 0, 0, 0, 0, 0]",-38.079847978873616,0.0,0.0,0.0
"[-1, 44, 6, 0, 0, 0, 0, 0, 0, 0]",0.0,-48.96107705467548,0.0,0.0
"[-1, 44, 6, 24, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-51.088855964189825
"[-1, 44, 6, 24, -9, 0, 0, 0, 0, 0]",0.0,0.0,-75.14114328316748,0.0
"[-1, 44, 6, 24, -9, -33, 0, 0, 0, 0]",0.0,0.0,0.0,-85.1341449891627
"[-1, 44, 6, 24, -9, -33, 23, 0, 0, 0]",-98.7462159971643,0.0,0.0,0.0
"[-1, 44, 6, 24, -9, -33, 23, -25, 0, 0]",-107.81134591861432,0.0,0.0,0.0
"[-1, 44, 6, 24, -9, -33, 23, -25, -20, 0]",0.0,0.0,0.0,-107.83565241564291
"[-45, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-118.77426247130919,-102.54539286976916,-227.44858138053675,-96.17234118790357
"[-45, 10, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-64.80684335851977,0.0
"[-45, 10, 32, 0, 0, 0, 0, 0, 0, 0]",-85.31627205834796,0.0,0.0,0.0
"[-45, 10, 32, -31, 0, 0, 0, 0, 0, 0]",0.0,-99.19852534671419,0.0,0.0
"[-45, 10, 32, -31, -25, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-111.03799893571612
"[-45, 10, 32, -31, -25, 25, 0, 0, 0, 0]",0.0,0.0,0.0,-152.79306700891655
"[-45, 10, 32, -31, -25, 25, -44, 0, 0, 0]",-157.80875315048326,0.0,0.0,0.0
"[-45, 10, 32, -31, -25, 25, -44, 16, 0, 0]",0.0,0.0,0.0,-160.86478299872783
"[-45, 10, 32, -31, -25, 25, -44, 16, 13, 0]",0.0,0.0,-162.10834490562783,0.0
"[-45, 10, 32, -31, -25, 25, -44, 16, 13, -6]",0.0,0.0,0.0,0.0
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-122.68232313129138,-87.62408761298748,-99.15001481371202,-106.73179033243521
"[1, -42, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-39.120071333608486,0.0,0.0
"[1, -42, 5, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-59.96674686697959
"[1, -42, 5, -31, 0, 0, 0, 0, 0, 0]",0.0,-60.258329559726405,0.0,0.0
"[1, -42, 5, -31, 4, 0, 0, 0, 0, 0]",0.0,0.0,-61.7324202814905,0.0
"[1, -42, 5, -31, 4, 9, 0, 0, 0, 0]",0.0,-70.99210720641878,0.0,0.0
"[1, -42, 5, -31, 4, 9, 22, 0, 0, 0]",0.0,0.0,-75.749401212833,0.0
"[1, -42, 5, -31, 4, 9, 22, -14, 0, 0]",-107.7487293711247,0.0,0.0,0.0
"[1, -42, 5, -31, 4, 9, 22, -14, 41, 0]",0.0,0.0,0.0,-112.87136023457421
"[1, -42, 5, -31, 4, 9, 22, -14, 41, 17]",0.0,0.0,0.0,0.0
"[-5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-41.95530494095277,-7.695772881240494,-43.66337710147431,-12.276561977765278
"[-5, -42, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-42.48979257155186
"[-5, -42, 13, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-42.64983064428445
"[-5, -42, 13, 4, 0, 0, 0, 0, 0, 0]",0.0,0.0,-45.02264225646478,0.0
"[-5, -42, 13, 4, 11, 0, 0, 0, 0, 0]",-45.60219231127755,0.0,0.0,0.0
"[-5, -42, 13, 4, 11, 6, 0, 0, 0, 0]",0.0,0.0,0.0,-52.5735929696948
"[-5, -42, 13, 4, 11, 6, -17, 0, 0, 0]",0.0,0.0,0.0,-55.18885129614889
"[-5, -42, 13, 4, 11, 6, -17, 12, 0, 0]",0.0,-78.07701505660155,0.0,0.0
"[-5, -42, 13, 4, 11, 6, -17, 12, 34, 0]",0.0,0.0,0.0,-112.34425806100165
"[-5, -42, 13, 4, 11, 6, -17, 12, 34, -40]",0.0,0.0,0.0,0.0
"[39, -12, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-38.369383759305244,0.0,0.0
"[39, -12, 16, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-49.14073925814344,0.0
"[39, -12, 16, 24, 0, 0, 0, 0, 0, 0]",0.0,-65.63018890480843,0.0,0.0
"[39, -12, 16, 24, -27, 0, 0, 0, 0, 0]",0.0,-65.78175043598536,0.0,0.0
"[39, -12, 16, 24, -27, -1, 0, 0, 0, 0]",0.0,-70.12488453857624,0.0,0.0
"[39, -12, 16, 24, -27, -1, 15, 0, 0, 0]",0.0,0.0,-73.15069556781519,0.0
"[39, -12, 16, 24, -27, -1, 15, -11, 0, 0]",0.0,-124.17252918006291,0.0,0.0
"[39, -12, 16, 24, -27, -1, 15, -11, 51, 0]",-147.3135102752306,0.0,0.0,0.0
"[39, -12, 16, 24, -27, -1, 15, -11, 51, 35]",0.0,0.0,0.0,0.0
"[-2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-93.26949816132341,-100.03280392966758,-87.25217779130672,-91.33736160928476
"[-2, 39, 0, 0, 0, 0, 0, 0, 0, 0]",-35.747085119439824,0.0,0.0,0.0
"[-2, 39, 17, 0, 0, 0, 0, 0, 0, 0]",0.0,-44.764400200850076,0.0,0.0
"[-2, 39, 17, 22, 0, 0, 0, 0, 0, 0]",-45.332684263585726,0.0,0.0,0.0
"[-2, 39, 17, 22, 6, 0, 0, 0, 0, 0]",0.0,0.0,-97.20487575202027,0.0
"[-2, 39, 17, 22, 6, 51, 0, 0, 0, 0]",0.0,0.0,-100.64763894799053,0.0
"[-2, 39, 17, 22, 6, 51, -12, 0, 0, 0]",0.0,0.0,-102.5225110392577,0.0
"[-2, 39, 17, 22, 6, 51, -12, -8, 0, 0]",0.0,0.0,0.0,-132.7936437363047
"[-2, 39, 17, 22, 6, 51, -12, -8, -37, 0]",0.0,0.0,-154.0926087570334,0.0
"[-2, 39, 17, 22, 6, 51, -12, -8, -37, 33]",0.0,0.0,0.0,0.0
"[-44, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-162.4761326813428,-295.83836474806503,-195.87120597582086,-218.7316019770128
"[-44, -36, 0, 0, 0, 0, 0, 0, 0, 0]",-91.48444796955638,0.0,0.0,0.0
"[-44, -36, 34, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-129.30172035144113
"[-44, -36, 34, 44, 0, 0, 0, 0, 0, 0]",0.0,-179.17668212871678,0.0,0.0
"[-44, -36, 34, 44, -48, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-180.479299467169
"[-44, -36, 34, 44, -48, -7, 0, 0, 0, 0]",0.0,-190.8021146192927,0.0,0.0
"[-44, -36, 34, 44, -48, -7, -21, 0, 0, 0]",0.0,0.0,0.0,-205.46758824870665
"[-44, -36, 34, 44, -48, -7, -21, -26, 0, 0]",0.0,0.0,-237.35530896719166,0.0
"[-44, -36, 34, 44, -48, -7, -21, -26, -38, 0]",0.0,0.0,0.0,-278.25552529857083
"[-44, -36, 34, 44, -48, -7, -21, -26, -38, -44]",0.0,0.0,0.0,0.0
"[19, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-47.96870507493174,-84.76324769737087,-16.35365835769352,-55.866418734172875
"[19, -30, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-50.172373428450214,0.0,0.0
"[19, -30, 35, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-53.060600827656835
"[19, -30, 35, -11, 0, 0, 0, 0, 0, 0]",0.0,-105.72218661365565,0.0,0.0
"[19, -30, 35, -11, 52, 0, 0, 0, 0, 0]",0.0,-132.32092387993285,0.0,0.0
"[19, -30, 35, -11, 52, -35, 0, 0, 0, 0]",0.0,0.0,-167.6068697945327,0.0
"[19, -30, 35, -11, 52, -35, -41, 0, 0, 0]",-196.6690252122459,0.0,0.0,0.0
"[19, -30, 35, -11, 52, -35, -41, 39, 0, 0]",0.0,0.0,-220.3543893923002,0.0
"[19, -30, 35, -11, 52, -35, -41, 39, 35, 0]",0.0,0.0,-253.9600273060196,0.0
"[19, -30, 35, -11, 52, -35, -41, 39, 35, -40]",0.0,0.0,0.0,0.0
"[-25, 39, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-48.994838597470526,0.0,0.0
"[-25, 39, 16, 0, 0, 0, 0, 0, 0, 0]",0.0,-103.95826879012544,0.0,0.0
"[-25, 39, 16, 53, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-130.66099845619698
"[-25, 39, 16, 53, -35, 0, 0, 0, 0, 0]",0.0,-130.7791587916893,0.0,0.0
"[-25, 39, 16, 53, -35, -1, 0, 0, 0, 0]",-145.8574588816233,0.0,0.0,0.0
"[-25, 39, 16, 53, -35, -1, 28, 0, 0, 0]",0.0,0.0,-169.76797134101463,0.0
"[-25, 39, 16, 53, -35, -1, 28, 35, 0, 0]",0.0,0.0,-170.38215870986483,0.0
"[-25, 39, 16, 53, -35, -1, 28, 35, 6, 0]",0.0,-175.72480892093023,0.0,0.0
"[-25, 39, 16, 53, -35, -1, 28, 35, 6, -15]",0.0,0.0,0.0,0.0
"[42, -42, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-108.8860504820746,0.0,0.0
"[42, -42, -40, 0, 0, 0, 0, 0, 0, 0]",-152.9434681211678,0.0,0.0,0.0
"[42, -42, -40, -45, 0, 0, 0, 0, 0, 0]",-158.2696314168682,0.0,0.0,0.0
"[42, -42, -40, -45, 17, 0, 0, 0, 0, 0]",0.0,-177.44721671898733,0.0,0.0
"[42, -42, -40, -45, 17, -29, 0, 0, 0, 0]",-211.1495113166413,0.0,0.0,0.0
"[42, -42, -40, -45, 17, -29, -40, 0, 0, 0]",0.0,0.0,-223.0309110852254,0.0
"[42, -42, -40, -45, 17, -29, -40, -23, 0, 0]",-235.36175265416787,0.0,0.0,0.0
"[42, -42, -40, -45, 17, -29, -40, -23, 25, 0]",0.0,0.0,-291.82651967644244,0.0
"[42, -42, -40, -45, 17, -29, -40, -23, 25, 54]",0.0,0.0,0.0,0.0
"[-43, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-146.60687065896064,-133.9555061651554,-139.26478900427873,-88.88441559274122
"[-43, -40, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-107.01156780940389,0.0
"[-43, -40, 40, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-157.07935220568055,0.0
"[-43, -40, 40, -49, 0, 0, 0, 0, 0, 0]",-187.06315742352024,0.0,0.0,0.0
"[-43, -40, 40, -49, -37, 0, 0, 0, 0, 0]",0.0,-216.56140846095528,0.0,0.0
"[-43, -40, 40, -49, -37, -37, 0, 0, 0, 0]",-240.5548384797088,0.0,0.0,0.0
"[-43, -40, 40, -49, -37, -37, 35, 0, 0, 0]",0.0,0.0,-257.8577440398205,0.0
"[-43, -40, 40, -49, -37, -37, 35, -28, 0, 0]",0.0,0.0,0.0,-281.61554883658164
"[-43, -40, 40, -49, -37, -37, 35, -28, 35, 0]",-306.3761419981471,0.0,0.0,0.0
"[-43, -40, 40, -49, -37, -37, 35, -28, 35, -34]",0.0,0.0,0.0,0.0
"[-30, 52, 0, 0, 0, 0, 0, 0, 0, 0]",-93.95081667921619,0.0,0.0,0.0
"[-30, 52, -30, 0, 0, 0, 0, 0, 0, 0]",-120.27414127571372,0.0,0.0,0.0
"[-30, 52, -30, -35, 0, 0, 0, 0, 0, 0]",-123.65713900705097,0.0,0.0,0.0
"[-30, 52, -30, -35, -12, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-174.80789247169645
"[-30, 52, -30, -35, -12, -49, 0, 0, 0, 0]",0.0,0.0,-175.50239733312407,0.0
"[-30, 52, -30, -35, -12, -49, -4, 0, 0, 0]",-180.54959816884252,-175.52196307576042,0.0,0.0
"[-30, 52, -30, -35, -12, -49, -4, 0, 16, 0]",0.0,0.0,0.0,-201.71724384189562
"[-30, 52, -30, -35, -12, -49, -4, 0, 16, -31]",0.0,0.0,0.0,0.0
"[-36, 41, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-61.86569516261241,0.0,0.0
"[-36, 41, 9, 0, 0, 0, 0, 0, 0, 0]",-78.86072377017067,0.0,0.0,0.0
"[-36, 41, 9, -28, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-115.211936437003
"[-36, 41, 9, -28, 43, 0, 0, 0, 0, 0]",0.0,0.0,-125.36598523406246,0.0
"[-36, 41, 9, -28, 43, 23, 0, 0, 0, 0]",-169.12004629688076,0.0,0.0,0.0
"[-36, 41, 9, -28, 43, 23, 47, 0, 0, 0]",0.0,0.0,0.0,-174.27097514528992
"[-36, 41, 9, -28, 43, 23, 47, -15, 0, 0]",-205.2007217439747,0.0,0.0,0.0
"[-36, 41, 9, -28, 43, 23, 47, -15, 40, 0]",0.0,0.0,-245.63563043884085,0.0
"[-36, 41, 9, -28, 43, 23, 47, -15, 40, 45]",0.0,0.0,0.0,0.0
"[-21, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-45.24282675608306,-68.33202304955053,-157.65795486471924,-113.7699872133839
"[-21, 51, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-83.8241330373102,0.0,0.0
"[-21, 51, 34, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-111.72585205870914
"[-21, 51, 34, 38, 0, 0, 0, 0, 0, 0]",-124.54447385097379,0.0,0.0,0.0
"[-21, 51, 34, 38, 26, 0, 0, 0, 0, 0]",0.0,0.0,-167.75460426097584,0.0
"[-21, 51, 34, 38, 26, 47, 0, 0, 0, 0]",0.0,0.0,-211.7055812274953,0.0
"[-21, 51, 34, 38, 26, 47, -45, 0, 0, 0]",0.0,-223.31090485473848,0.0,0.0
"[-21, 51, 34, 38, 26, 47, -45, 25, 0, 0]",0.0,-231.17109135258522,0.0,0.0
"[-21, 51, 34, 38, 26, 47, -45, 25, 20, 0]",0.0,-231.7616068758181,0.0,0.0
"[-21, 51, 34, 38, 26, 47, -45, 25, 20, 6]",0.0,0.0,0.0,0.0
"[48, 18, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-96.05065386563255,0.0
"[48, 18, -46, 0, 0, 0, 0, 0, 0, 0]",0.0,-138.04788043961645,0.0,0.0
"[48, 18, -46, 46, 0, 0, 0, 0, 0, 0]",0.0,-171.6246013889544,0.0,0.0
"[48, 18, -46, 46, 41, 0, 0, 0, 0, 0]",0.0,-171.66105203651497,-221.08411943047705,0.0
