,mutation_1,mutation_2,crossover_1,crossover_2
"[-9, 39, 10, -40, 33, -38, -8, -32, 27, 0]",0.0,0.0,0.0,-159.90698553573847
"[-9, 39, 10, -40, 33, -38, -8, -32, 27, -7]",0.0,0.0,0.0,0.0
"[-47, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-217.80453395827976,-257.14188377565756,-229.41535346545763,-247.74354359040652
"[-47, 10, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-50.10156877899628
"[-47, 10, -6, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-66.24204772084967,0.0
"[-47, 10, -6, 29, 0, 0, 0, 0, 0, 0]",0.0,0.0,-95.52654080401412,0.0
"[-47, 10, -6, 29, 39, 0, 0, 0, 0, 0]",-98.84405202636337,0.0,0.0,0.0
"[-47, 10, -6, 29, 39, -11, 0, 0, 0, 0]",0.0,-99.59701277204607,0.0,0.0
"[-47, 10, -6, 29, 39, -11, 7, 0, 0, 0]",0.0,-125.33317220950504,0.0,0.0
"[-47, 10, -6, 29, 39, -11, 7, 36, 0, 0]",0.0,0.0,-128.08101478970914,0.0
"[-47, 10, -6, 29, 39, -11, 7, 36, 12, 0]",-139.4345059184286,0.0,0.0,0.0
"[-47, 10, -6, 29, 39, -11, 7, 36, 12, -22]",0.0,0.0,0.0,0.0
"[11, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-36.97373972131689,-26.4787677087182,-122.34202276731668,-10.55503325081699
"[11, 21, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-11.628734042546647
"[11, 21, -3, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-20.46433546133757,0.0
"[11, 21, -3, 22, 0, 0, 0, 0, 0, 0]",-47.48889360478689,0.0,0.0,0.0
"[11, 21, -3, 22, -35, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-53.66366844770952
"[11, 21, -3, 22, -35, 18, 0, 0, 0, 0]",0.0,0.0,0.0,-94.0238081381409
"[11, 21, -3, 22, -35, 18, -43, 0, 0, 0]",0.0,0.0,-94.1795048661934,0.0
"[11, 21, -3, 22, -35, 18, -43, -1, 0, 0]",0.0,-102.99986000228357,0.0,0.0
"[11, 21, -3, 22, -35, 18, -43, -1, 22, 0]",0.0,-141.4738777822023,0.0,0.0
"[11, 21, -3, 22, -35, 18, -43, -1, 22, 44]",0.0,0.0,0.0,0.0
"[44, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-184.35146078568826,-49.2338357929732,-129.46055503051355,-40.374726614472976
"[44, -44, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-92.486875176986,0.0
"[44, -44, -25, 0, 0, 0, 0, 0, 0, 0]",0.0,-100.15254999975866,0.0,0.0
"[44, -44, -25, 20, 0, 0, 0, 0, 0, 0]",0.0,-110.28915631368551,0.0,0.0
