,RL_NSGAII,NSGAII,SPEA2,NSGAIII
ZDT1,0.004155143106300605,0.00443662063210609,0.0038394161347715273,0.0038330471565669664,
ZDT1,0.004342651872265421,0.004523060976711447,0.003792514500885634,0.0038037374508127367,
ZDT1,0.004416043800221172,0.004336530718412628,0.003881613942051744,0.0037781917463729914,
ZDT1,0.004380537178369271,0.0043760829604382314,0.00388465677813816,0.004034380833232784,
ZDT1,0.004236062379984178,0.0047244413340347185,0.003956776337747016,0.003814426489977222,
ZDT1,0.004291403016874101,0.004360269483136695,0.0038828803374870956,0.003809268103511262,
ZDT1,0.004422301073376657,0.004459097491553783,0.003821632335681788,0.003802053787974147,
ZDT1,0.004297580713644171,0.004424874694404202,0.0037869727484171906,0.0038334467464987876,
ZDT1,0.004344101141480171,0.004393338767903901,0.0038415021618056528,0.0038012229212236416,
ZDT1,0.004358086305390668,0.004800084239857524,0.003853791670589801,0.0038015564279925388,
ZDT1,0.004344063603101675,0.004325931876121141,0.003902226574753934,0.003809764398034847,
ZDT1,0.004230261185027396,0.004362060643508026,0.003875456340813613,0.0038051493035419774,
ZDT1,0.004587448545345373,0.004713772241747189,0.0038944587264956253,0.00380352040299954,
ZDT1,0.004470906567113014,0.004744564212607938,0.0038434829871594606,0.0038185606323517976,
ZDT1,0.004210988887485689,0.004486245792362022,0.0038753456234181622,0.0038386298174863517,
ZDT1,0.004253413387771531,0.0043650039414825925,0.003847954394222322,0.0038329547564379595,
ZDT1,0.004239007842419174,0.004526287086384072,0.0038721921176909685,0.0037834155869497154,
ZDT1,0.0045377820541811185,0.004582023209254155,0.003880253813654135,0.003837978660952566,
ZDT1,0.004234529454772601,0.004535893349288887,0.0038994394882365846,0.003810962809360562,
ZDT1,0.00427698098904036,0.004452784414384653,0.0038116821075757437,0.003820774488075976,
ZDT1,0.004490487899085982,0.0045580929562453075,0.014276342678557825,0.003817135999512932,
ZDT1,0.00447558432265573,0.004351399039078336,0.003973071250458883,0.0038246784530017296,
ZDT1,0.004497878703205118,0.004429547447854825,0.003984819249553321,0.0037952763435883936,
ZDT1,0.004380321982869244,0.004593621112262683,0.003913299286378052,0.003806190665077757,
ZDT1,0.004209407348357614,0.004419847636385596,0.004005304476350526,0.0037430288392326563,
ZDT1,0.004221845741894166,0.004541365491483442,0.003952775192192102,0.0038115064758216985,
ZDT1,0.004457719960937556,0.0044031838341156235,0.003798893849860807,0.003806124268380412,
ZDT1,0.00416742391451521,0.004401967769973607,0.003879285426292068,0.0038584330305623878,
ZDT1,0.0043672826101170265,0.00451954738054782,0.003892939710471855,0.0038055228115780725,
ZDT1,0.0042738118675031715,0.0046827160705148856,0.004023589220579639,0.00382380259060452,
ZDT1,0.0044882258664122624,0.004920906446200997,0.0037938748946063886,0.003821728528559423,
ZDT1,0.004328011304135324,0.00443425456586751,0.0038360897168814747,0.003788956888098876,
ZDT1,0.0043146797419857455,0.00444299489547279,0.003949589543070266,0.0037988466643101093,
ZDT1,0.004525094268960158,0.004448929977261675,0.00379306937489394,0.0039023044852536074,
ZDT1,0.004342085684793204,0.0044360330678694755,0.003802136113796096,0.0038169911321969873,
ZDT1,0.004315457196479784,0.004515494582356322,0.0038872536163847477,0.00405128600560284,
ZDT1,0.00416128159623805,0.00475060566820169,0.003847218105631447,0.0038006179873643596,
ZDT1,0.0044524252102372324,0.0045121236733446,0.003976557340461239,0.004018035691815532,
ZDT1,0.00442468829633661,0.004682998476561319,0.0038322875822826637,0.0038251253213228737,
ZDT1,0.0042018351838607314,0.004452234051722241,0.0038971527721566473,0.00381897104063521,
ZDT1,0.004293392055818913,0.004464344342833291,0.003857642823754324,0.0038154959315848413,
ZDT1,0.004423825885351813,0.004465490780996049,0.003906771400386604,0.003803348893531719,
ZDT1,0.004377823135986825,0.004632964108272561,0.003897115842657463,0.0038130071544573907,
ZDT1,0.0044218969189254295,0.004559520482510163,0.003933920787492813,0.003810489182998664,
ZDT1,0.00436051350406429,0.004400500493512571,0.0038558414877622963,0.003794996992112336,
ZDT1,0.004445325919676126,0.004608125537820936,0.003878365399338229,0.003768042971430502,
ZDT1,0.0043390764159462036,0.004346447431856897,0.003924798776528377,0.00384091934723363,
ZDT1,0.004409108752874923,0.0045094724930626355,0.0037890001356905003,0.0037428105533881735,
ZDT1,0.004352610264307117,0.00447997260900201,0.003888164427157079,0.0037934877979282394,
ZDT1,0.004422830894674488,0.004618992079874457,0.0038235264359018158,0.003797456968720038,
ZDT1,0.004253207943637222,0.004633443107033705,0.004013475364044956,0.0038281870653551543,
ZDT1,0.0041504530330353055,0.004498671503037915,0.003980131471642296,0.003813304802644101,
ZDT1,0.00435411875102003,0.004371356207924362,0.003839318054811139,0.0038099144635611276,
ZDT1,0.004438840895252423,0.004497864633057531,0.0038230822536382963,0.0038499233255881705,
ZDT1,0.00440266014053707,0.0044410670164649725,0.003923044493815873,0.0037580498564748653,
ZDT1,0.004308018923523584,0.004488459552086155,0.003907744278505616,0.0038073144631606774,
ZDT1,0.004192812805132653,0.004389530435729563,0.0039068321669553955,0.003723977741647453,
ZDT1,0.004288684539112731,0.004846576791326856,0.003822071884357586,0.0038146059423097532,
ZDT1,0.004595365286151394,0.004472848597123969,0.0039060210469107756,0.0038444043019336674,
ZDT1,0.004270384496411063,0.004504722580755503,0.003820512362491054,0.003817404091055619,
ZDT1,0.00445403861349735,0.004393557493956296,0.0038785796948249338,0.004135783186214921,
ZDT1,0.0042283842012406665,0.00475018077530913,0.0037992249454249145,0.003810849927428002,
ZDT1,0.004214122391234486,0.004486255252627725,0.0038711726244404485,0.00376967678298537,
ZDT1,0.004796915849842357,0.004241978378677712,0.003919216573286802,0.0038164025159277085,
ZDT1,0.004317669938575127,0.004781163579201726,0.003969614111275171,0.0037950245660653375,
ZDT1,0.004368762323012742,0.004560134585764962,0.0039016824623981086,0.003811953919058937,
ZDT1,0.0043720828877310824,0.004816316528744348,0.0038255315563532205,0.0038183296783875437,
ZDT1,0.004435907008943263,0.004234945993331954,0.0038599587939194954,0.003810983200937872,
ZDT1,0.004218332352333143,0.004439929669017635,0.0039173368248302505,0.003796486307700361,
ZDT1,0.004181473579671759,0.004420703481470175,0.0038836877904337764,0.0038461125700385507,
ZDT1,0.004116101527939057,0.00432227171815811,0.003786610239636494,0.00421479086694165,
ZDT1,0.0044442695654805285,0.004549673669477109,0.0038577379025844594,0.0038277259348016026,
ZDT1,0.004521702677534301,0.004755575409017384,0.00393601155536061,0.003845923135606042,
ZDT1,0.004461332137176169,0.004423641450963028,0.0038862496477361226,0.003804344163760306,
ZDT1,0.004371665147949157,0.004491923292385264,0.003855480176882205,0.003819644281957931,
ZDT1,0.004525432437315663,0.004466903471230745,0.003810694371112532,0.003799661046307449,
